latin	batch=80	members=900	cards=1	coverage=899	positive=0	closures=1	remaining=820476
latin	batch=81	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=819576
latin	batch=82	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=818676
latin	batch=83	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=817776
latin	batch=84	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=816876
latin	batch=85	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=815976
latin	batch=86	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=815076
latin	batch=87	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=814176
latin	batch=88	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=813276
latin	batch=89	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=812376
latin	batch=90	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=811476
latin	batch=91	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=810576
latin	batch=92	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=809676
latin	batch=93	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=808776
latin	batch=94	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=807876
latin	batch=95	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=806976
latin	batch=96	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=806076
latin	batch=97	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=805176
latin	batch=98	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=804276
latin	batch=99	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=803376
latin	batch=100	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=802476
latin	batch=101	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=801576
latin	batch=102	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=800676
latin	batch=103	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=799776
latin	batch=104	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=798876
latin	batch=105	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=797976
latin	batch=106	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=797076
latin	batch=107	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=796176
latin	batch=108	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=795276
latin	batch=109	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=794376
latin	batch=110	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=793476
latin	batch=111	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=792576
latin	batch=112	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=791676
latin	batch=113	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=790776
latin	batch=114	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=789876
latin	batch=115	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=788976
latin	batch=116	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=788076
latin	batch=117	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=787176
latin	batch=118	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=786276
latin	batch=119	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=785376
latin	batch=120	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=784476
latin	batch=121	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=783576
latin	batch=122	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=782676
latin	batch=123	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=781776
latin	batch=124	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=780876
latin	batch=125	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=779976
latin	batch=126	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=779076
latin	batch=127	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=778176
latin	batch=128	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=777276
latin	batch=129	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=776376
latin	batch=130	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=775476
latin	batch=131	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=774576
latin	batch=132	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=773676
latin	batch=133	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=772776
latin	batch=134	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=771876
latin	batch=135	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=770976
latin	batch=136	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=770076
latin	batch=137	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=769176
latin	batch=138	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=768276
latin	batch=139	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=767376
latin	batch=140	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=766476
latin	batch=141	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=765576
latin	batch=142	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=764676
latin	batch=143	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=763776
latin	batch=144	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=762876
latin	batch=145	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=761976
latin	batch=146	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=761076
latin	batch=147	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=760176
latin	batch=148	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=759276
latin	batch=149	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=758376
latin	batch=150	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=757476
latin	batch=151	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=756576
latin	batch=152	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=755676
latin	batch=153	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=754776
latin	batch=154	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=753876
latin	batch=155	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=752976
latin	batch=156	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=752076
latin	batch=157	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=751176
latin	batch=158	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=750276
latin	batch=159	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=749376
latin	batch=160	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=748476
latin	batch=161	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=747576
latin	batch=162	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=746676
latin	batch=163	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=745776
latin	batch=164	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=744876
latin	batch=165	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=743976
latin	batch=166	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=743076
latin	batch=167	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=742176
latin	batch=168	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=741276
latin	batch=169	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=740376
latin	batch=170	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=739476
latin	batch=171	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=738576
latin	batch=172	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=737676
latin	batch=173	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=736776
latin	batch=174	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=735876
latin	batch=175	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=734976
latin	batch=176	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=734076
latin	batch=177	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=733176
latin	batch=178	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=732276
latin	batch=179	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=731376
latin	batch=180	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=730476
latin	batch=181	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=729576
latin	batch=182	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=728676
latin	batch=183	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=727776
latin	batch=184	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=726876
latin	batch=185	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=725976
latin	batch=186	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=725076
latin	batch=187	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=724176
latin	batch=188	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=723276
latin	batch=189	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=722376
latin	batch=190	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=721476
latin	batch=191	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=720576
latin	batch=192	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=719676
latin	batch=193	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=718776
latin	batch=194	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=717876
latin	batch=195	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=716976
latin	batch=196	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=716076
latin	batch=197	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=715176
latin	batch=198	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=714276
latin	batch=199	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=713376
latin	batch=200	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=712476
latin	batch=201	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=711576
latin	batch=202	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=710676
latin	batch=203	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=709776
latin	batch=204	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=708876
latin	batch=205	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=707976
latin	batch=206	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=707076
latin	batch=207	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=706176
latin	batch=208	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=705276
latin	batch=209	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=704376
latin	batch=210	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=703476
latin	batch=211	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=702576
latin	batch=212	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=701676
latin	batch=213	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=700776
latin	batch=214	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=699876
latin	batch=215	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=698976
latin	batch=216	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=698076
latin	batch=217	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=697176
latin	batch=218	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=696276
latin	batch=219	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=695376
latin	batch=220	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=694476
latin	batch=221	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=693576
latin	batch=222	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=692676
latin	batch=223	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=691776
latin	batch=224	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=690876
latin	batch=225	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=689976
latin	batch=226	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=689076
latin	batch=227	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=688176
latin	batch=228	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=687276
latin	batch=229	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=686376
latin	batch=230	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=685476
latin	batch=231	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=684576
latin	batch=232	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=683676
latin	batch=233	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=682776
latin	batch=234	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=681876
latin	batch=235	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=680976
latin	batch=236	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=680076
latin	batch=237	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=679176
latin	batch=238	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=678276
latin	batch=239	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=677376
latin	batch=240	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=676476
latin	batch=241	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=675576
latin	batch=242	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=674676
latin	batch=243	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=673776
latin	batch=244	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=672876
latin	batch=245	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=671976
latin	batch=246	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=671076
latin	batch=247	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=670176
latin	batch=248	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=669276
latin	batch=249	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=668376
latin	batch=250	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=667476
latin	batch=251	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=666576
latin	batch=252	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=665676
latin	batch=253	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=664776
latin	batch=254	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=663876
latin	batch=255	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=662976
latin	batch=256	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=662076
latin	batch=257	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=661176
latin	batch=258	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=660276
latin	batch=259	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=659376
latin	batch=260	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=658476
latin	batch=261	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=657576
latin	batch=262	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=656676
latin	batch=263	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=655776
latin	batch=264	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=654876
latin	batch=265	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=653976
latin	batch=266	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=653076
latin	batch=267	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=652176
latin	batch=268	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=651276
latin	batch=269	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=650376
latin	batch=270	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=649476
latin	batch=271	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=648576
latin	batch=272	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=647676
latin	batch=273	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=646776
latin	batch=274	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=645876
latin	batch=275	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=644976
latin	batch=276	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=644076
latin	batch=277	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=643176
latin	batch=278	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=642276
latin	batch=279	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=641376
latin	batch=280	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=640476
latin	batch=281	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=639576
latin	batch=282	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=638676
latin	batch=283	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=637776
latin	batch=284	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=636876
latin	batch=285	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=635976
latin	batch=286	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=635076
latin	batch=287	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=634176
latin	batch=288	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=633276
latin	batch=289	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=632376
latin	batch=290	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=631476
latin	batch=291	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=630576
latin	batch=292	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=629676
latin	batch=293	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=628776
latin	batch=294	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=627876
latin	batch=295	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=626976
latin	batch=296	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=626076
latin	batch=297	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=625176
latin	batch=298	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=624276
latin	batch=299	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=623376
latin	batch=300	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=622476
latin	batch=301	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=621576
latin	batch=302	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=620676
latin	batch=303	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=619776
latin	batch=304	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=618876
latin	batch=305	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=617976
latin	batch=306	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=617076
latin	batch=307	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=616176
latin	batch=308	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=615276
latin	batch=309	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=614376
latin	batch=310	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=613476
latin	batch=311	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=612576
latin	batch=312	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=611676
latin	batch=313	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=610776
latin	batch=314	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=609876
latin	batch=315	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=608976
latin	batch=316	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=608076
latin	batch=317	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=607176
latin	batch=318	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=606276
latin	batch=319	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=605376
latin	batch=320	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=604476
latin	batch=321	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=603576
latin	batch=322	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=602676
latin	batch=323	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=601776
latin	batch=324	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=600876
latin	batch=325	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=599976
latin	batch=326	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=599076
latin	batch=327	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=598176
latin	batch=328	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=597276
latin	batch=329	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=596376
latin	batch=330	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=595476
latin	batch=331	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=594576
latin	batch=332	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=593676
latin	batch=333	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=592776
latin	batch=334	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=591876
latin	batch=335	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=590976
latin	batch=336	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=590076
latin	batch=337	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=589176
latin	batch=338	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=588276
latin	batch=339	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=587376
latin	batch=340	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=586476
latin	batch=341	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=585576
latin	batch=342	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=584676
latin	batch=343	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=583776
latin	batch=344	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=582876
latin	batch=345	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=581976
latin	batch=346	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=581076
latin	batch=347	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=580176
latin	batch=348	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=579276
latin	batch=349	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=578376
latin	batch=350	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=577476
latin	batch=351	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=576576
latin	batch=352	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=575676
latin	batch=353	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=574776
latin	batch=354	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=573876
latin	batch=355	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=572976
latin	batch=356	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=572076
latin	batch=357	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=571176
latin	batch=358	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=570276
latin	batch=359	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=569376
latin	batch=360	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=568476
latin	batch=361	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=567576
latin	batch=362	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=566676
latin	batch=363	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=565776
latin	batch=364	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=564876
latin	batch=365	members=900	cards=0	coverage=900	positive=0	closures=0	remaining=563976
